10:20:38: Starting /home/yurielnf/Documents/projects/it_irlm/build-tdvp-Desktop-Release/example/irlm_wilson_chain...
bond dimension of H: 5

sweep bond-dim energy
1 35 -11.293073959473
2 38 -11.293184236528
3 38 -11.293184237062
4 28 -11.293184236778
5 28 -11.293184236778
6 28 -11.293184236778
1 2 4 4 8 14 19 20 20 22 22 23 23 23 23 23 23 23 23 23 23 22 23 22 21 19 14 8 4 2 

-------------------------- evolve the psi with new Hamiltonian ----------------
bond dimension of H: 5
sweep bond-dim energy n0
0 23 -1.2937763310465 0.99994078827282

maxLinkDim after global subspace expansion = 35
Global subspace expansion: cputime = 6.815s, walltime = 1.320s
0.1 25 -1.2937763491339 0.99988043429102
0.2 25 -1.2937763491341 0.99969943223863
0.3 25 -1.2937763491344 0.99939796161016
0.4 25 -1.2937763491346 0.99897632115291
0.5 25 -1.2937763491349 0.99843492823274
0.6 25 -1.2937763491351 0.99777431795729
0.7 25 -1.2937763491354 0.99699514205385
0.8 25 -1.2937763491357 0.99609816750568
0.9 25 -1.293776349136 0.99508427495141
1 25 -1.2937763491363 0.99395445685298
1.1 25 -1.2937763491367 0.99270981543824
1.2 25 -1.2937763491371 0.99135156042522
1.3 25 -1.2937763491376 0.98988100653559
1.4 25 -1.2937763491382 0.98829957080573
1.5 25 -1.2937763491389 0.98660876970417
1.6 25 -1.2937763491398 0.98481021606503
1.7 25 -1.2937763491408 0.98290561584741
1.8 25 -1.2937763491422 0.98089676473133
1.9 25 -1.2937763491438 0.97878554456118
2 25 -1.2937763491459 0.97657391964797

maxLinkDim after global subspace expansion = 37
Global subspace expansion: cputime = 2.019s, walltime = 0.387s
2.1 26 -1.2937763493047 0.97426393290687
2.2 26 -1.2937763493661 0.97185770169871
2.3 26 -1.2937763493779 0.96935741345448
2.4 26 -1.2937763493912 0.96676532163789
2.5 26 -1.2937763494157 0.96408374135474
2.6 26 -1.2937763494487 0.96131504509671
2.7 26 -1.2937763494909 0.95846165837468
2.8 26 -1.2937763495458 0.95552605535193
2.9 26 -1.2937763496058 0.95251075444188
3 26 -1.2937763496651 0.94941831386684
3.1 26 -1.2937763497223 0.94625132723096
3.2 26 -1.2937763497777 0.94301241911224
3.3 26 -1.293776349832 0.93970424067849
3.4 26 -1.293776349886 0.93632946533927
3.5 26 -1.2937763499403 0.9328907844451
3.6 26 -1.2937763499956 0.92939090304503
3.7 26 -1.2937763500526 0.92583253571272
3.8 26 -1.2937763501121 0.92221840245056
3.9 26 -1.2937763501748 0.91855122468109
4 26 -1.2937763502419 0.91483372133419

maxLinkDim after global subspace expansion = 38
Global subspace expansion: cputime = 2.371s, walltime = 0.440s
4.1 26 -1.2937763502488 0.9110686053649
4.2 26 -1.2937763502579 0.9072585790554
4.3 26 -1.2937763502707 0.9034063314533
4.4 26 -1.2937763502896 0.89951453454735
4.5 26 -1.2937763503175 0.89558583995628
4.6 26 -1.2937763503572 0.89162287573523
4.7 26 -1.2937763504105 0.88762824331852
